dataset,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault
CWRU,fuzzy_fault_only_hi75,0.8557383293593847,0.03305437295568408,0.17218078888555682,0.08664808773673785,0.11220275063719008,0.8883746911755984
CWRU,fuzzy_warning_as_alarm_hi50,0.849117085419459,0.06958837441443555,0.10049975290503727,0.08664808773673785,0.11220275063719008,0.8883746911755984
CWRU,hard_val_p95,0.849117085419459,0.06958837441443555,0.10049975290503727,0.08664808773673785,0.11220275063719008,0.8883746911755984
Paderborn,fuzzy_fault_only_hi75,0.39110886788453997,0.0682585603535461,0.721227775581617,0.1557693491458385,0.14749137412288926,0.4114762041629743
Paderborn,fuzzy_warning_as_alarm_hi50,0.5200113988062732,0.11940235107647434,0.5950022080000668,0.1557693491458385,0.14749137412288926,0.4114762041629743
Paderborn,hard_val_p95,0.5200113988062732,0.11940235107647434,0.5950022080000668,0.1557693491458385,0.14749137412288926,0.4114762041629743
