dataset,protocol,heldout_group,model,decision_policy,train_normal_count,val_normal_count,test_normal_count,test_fault_count,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,normal_state_rate,warning_state_rate,fault_state_rate,tn,fp,fn,tp
CWRU,load-wise,0,iforest,hard_val_p95,2268,567,475,205,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9671373555840822,0.917184168722813,0.74609375,0.9317073170731708,0.8286334056399133,0.1368421052631579,0.06829268292682927,0.12794117647058822,0.18801818471197443,0.9117891509128614,0.5705882352941176,0.12794117647058822,0.3014705882352941,410,65,14,191
CWRU,load-wise,0,iforest,fuzzy_warning_as_alarm_hi50,2268,567,475,205,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9671373555840822,0.917184168722813,0.74609375,0.9317073170731708,0.8286334056399133,0.1368421052631579,0.06829268292682927,0.12794117647058822,0.18801818471197443,0.9117891509128614,0.5705882352941176,0.12794117647058822,0.3014705882352941,410,65,14,191
CWRU,load-wise,0,iforest,fuzzy_fault_only_hi75,2268,567,475,205,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9671373555840822,0.917184168722813,0.848780487804878,0.848780487804878,0.848780487804878,0.06526315789473684,0.15121951219512195,0.12794117647058822,0.18801818471197443,0.9117891509128614,0.5705882352941176,0.12794117647058822,0.3014705882352941,444,31,31,174
CWRU,load-wise,1,iforest,hard_val_p95,1893,473,944,216,0.4303232728230629,0.5046962146684284,0.5380934351474619,0.6206166828319474,0.9809861503452606,0.9109027851311325,0.8,0.9259259259259259,0.8583690987124464,0.05296610169491525,0.07407407407407407,0.07413793103448275,0.09732068075631056,0.913011596770019,0.743103448275862,0.07413793103448275,0.18275862068965518,894,50,16,200
CWRU,load-wise,1,iforest,fuzzy_warning_as_alarm_hi50,1893,473,944,216,0.4303232728230629,0.5046962146684284,0.5380934351474619,0.6206166828319474,0.9809861503452606,0.9109027851311325,0.8,0.9259259259259259,0.8583690987124464,0.05296610169491525,0.07407407407407407,0.07413793103448275,0.09732068075631056,0.913011596770019,0.743103448275862,0.07413793103448275,0.18275862068965518,894,50,16,200
CWRU,load-wise,1,iforest,fuzzy_fault_only_hi75,1893,473,944,216,0.4303232728230629,0.5046962146684284,0.5380934351474619,0.6206166828319474,0.9809861503452606,0.9109027851311325,0.8867924528301887,0.8703703703703703,0.8785046728971962,0.025423728813559324,0.12962962962962962,0.07413793103448275,0.09732068075631056,0.913011596770019,0.743103448275862,0.07413793103448275,0.18275862068965518,920,24,28,188
CWRU,load-wise,2,iforest,hard_val_p95,1893,473,944,222,0.4292450702523155,0.49903274293117805,0.5404142805829004,0.6023012446562719,0.971780042754619,0.8667306555204173,0.8085106382978723,0.8558558558558559,0.8315098468271335,0.04766949152542373,0.14414414414414414,0.07804459691252144,0.09309293371610433,0.857823443142034,0.7504288164665524,0.07804459691252144,0.17152658662092624,899,45,32,190
CWRU,load-wise,2,iforest,fuzzy_warning_as_alarm_hi50,1893,473,944,222,0.4292450702523155,0.49903274293117805,0.5404142805829004,0.6023012446562719,0.971780042754619,0.8667306555204173,0.8085106382978723,0.8558558558558559,0.8315098468271335,0.04766949152542373,0.14414414414414414,0.07804459691252144,0.09309293371610433,0.857823443142034,0.7504288164665524,0.07804459691252144,0.17152658662092624,899,45,32,190
CWRU,load-wise,2,iforest,fuzzy_fault_only_hi75,1893,473,944,222,0.4292450702523155,0.49903274293117805,0.5404142805829004,0.6023012446562719,0.971780042754619,0.8667306555204173,0.88,0.7927927927927928,0.8341232227488151,0.025423728813559324,0.2072072072072072,0.07804459691252144,0.09309293371610433,0.857823443142034,0.7504288164665524,0.07804459691252144,0.17152658662092624,920,24,46,176
CWRU,load-wise,3,iforest,hard_val_p95,1890,473,947,209,0.43653395814013823,0.5206789816800609,0.5607463330683652,0.636865777218127,0.9726156131424846,0.8823678671959808,0.8127853881278538,0.8516746411483254,0.8317757009345794,0.04329461457233368,0.14832535885167464,0.08304498269896193,0.08306824608051078,0.8405923498090244,0.7673010380622838,0.08304498269896193,0.14965397923875431,906,41,31,178
