training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
local-only,42,bearing,client_specific,cnn-ae,test1_bearing1,hard_val_p95,0.9545237493328839,0.06976744186046512,0.08611230636833046,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184
local-only,42,bearing,client_specific,cnn-ae,test1_bearing1,fuzzy_warning_as_alarm_hi50,0.9545237493328839,0.06976744186046512,0.08611230636833046,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184
local-only,42,bearing,client_specific,cnn-ae,test1_bearing1,fuzzy_fault_only_hi75,0.9432150668977076,0.03488372093023256,0.10703528399311532,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184
local-only,42,bearing,client_specific,cnn-ae,test1_bearing2,hard_val_p95,0.9949496313500958,0.05813953488372093,0.009251290877796902,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701
local-only,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.9949496313500958,0.05813953488372093,0.009251290877796902,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701
local-only,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.9906379745461453,0.023255813953488372,0.018233648881239243,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701
local-only,42,bearing,client_specific,cnn-ae,test1_bearing3,hard_val_p95,0.568923076923077,0.046511627906976744,0.6021944922547332,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798
local-only,42,bearing,client_specific,cnn-ae,test1_bearing3,fuzzy_warning_as_alarm_hi50,0.568923076923077,0.046511627906976744,0.6021944922547332,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798
local-only,42,bearing,client_specific,cnn-ae,test1_bearing3,fuzzy_fault_only_hi75,0.5337643394961958,0.01937984496124031,0.6358648881239243,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798
local-only,42,bearing,client_specific,cnn-ae,test1_bearing4,hard_val_p95,0.5989381330722596,0.046511627906976744,0.5722353700516352,0.06355437665782493,0.09866620856659215,0.45480623657736063,0.3561400280107685
local-only,42,bearing,client_specific,cnn-ae,test1_bearing4,fuzzy_warning_as_alarm_hi50,0.5989381330722596,0.046511627906976744,0.5722353700516352,0.06355437665782493,0.09866620856659215,0.45480623657736063,0.3561400280107685
local-only,42,bearing,client_specific,cnn-ae,test1_bearing4,fuzzy_fault_only_hi75,0.5701214823927419,0.01937984496124031,0.6011725473321858,0.06355437665782493,0.09866620856659215,0.45480623657736063,0.3561400280107685
local-only,42,bearing,client_specific,cnn-ae,test2_bearing1,hard_val_p95,0.904642741484382,0.09322033898305085,0.17362306368330466,0.03233564938535542,0.1326309751260139,0.8381621721574172,0.7055311970314033
local-only,42,bearing,client_specific,cnn-ae,test2_bearing1,fuzzy_warning_as_alarm_hi50,0.904642741484382,0.09322033898305085,0.17362306368330466,0.03233564938535542,0.1326309751260139,0.8381621721574172,0.7055311970314033
local-only,42,bearing,client_specific,cnn-ae,test2_bearing1,fuzzy_fault_only_hi75,0.8948713377310276,0.03389830508474576,0.19008175559380378,0.03233564938535542,0.1326309751260139,0.8381621721574172,0.7055311970314033
local-only,42,bearing,client_specific,cnn-ae,test2_bearing3,hard_val_p95,0.2635362210604929,0.07627118644067797,0.8481604991394148,0.09374665954035276,0.13114992740589806,0.21053888236260354,0.07938895495670548
