seed,clients_by,training_mode,calibration_scope,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing1,1207,259,258,18592,hard_val_p95,0.805158257484436,0.8383146286010742,0.8468104362487793,0.8654245042800902,0.9536307605838638,0.9990827089913723,0.9989417367276148,0.9138876936316696,0.9545237493328839,0.06976744186046512,0.08611230636833046,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184,240,18,1601,16991
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing1,1207,259,258,18592,fuzzy_warning_as_alarm_hi50,0.805158257484436,0.8383146286010742,0.8468104362487793,0.8654245042800902,0.9536307605838638,0.9990827089913723,0.9989417367276148,0.9138876936316696,0.9545237493328839,0.06976744186046512,0.08611230636833046,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184,240,18,1601,16991
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing1,1207,259,258,18592,fuzzy_fault_only_hi75,0.805158257484436,0.8383146286010742,0.8468104362487793,0.8654245042800902,0.9536307605838638,0.9990827089913723,0.9994581903557883,0.8929647160068847,0.9432150668977076,0.03488372093023256,0.10703528399311532,0.03050397877984085,0.10747872016448148,0.9109338729965999,0.8034551528321184,249,9,1990,16602
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing2,1207,259,258,18592,hard_val_p95,0.7406888008117676,0.7767693996429443,0.7863980412483216,0.8018761432170868,0.9948973635405409,0.9998736816853033,0.9991863303498779,0.9907487091222031,0.9949496313500958,0.05813953488372093,0.009251290877796902,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701,243,15,172,18420
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing2,1207,259,258,18592,fuzzy_warning_as_alarm_hi50,0.7406888008117676,0.7767693996429443,0.7863980412483216,0.8018761432170868,0.9948973635405409,0.9998736816853033,0.9991863303498779,0.9907487091222031,0.9949496313500958,0.05813953488372093,0.009251290877796902,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701,243,15,172,18420
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing2,1207,259,258,18592,fuzzy_fault_only_hi75,0.7406888008117676,0.7767693996429443,0.7863980412483216,0.8018761432170868,0.9948973635405409,0.9998736816853033,0.9996713949285284,0.9817663511187608,0.9906379745461453,0.023255813953488372,0.018233648881239243,0.015013262599469496,0.10754082735928612,0.9888188663170563,0.8812780389577701,252,6,339,18253
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing3,1207,259,258,18592,hard_val_p95,0.9710195064544678,0.9821660041809082,0.9842556953430176,0.9888770878314972,0.629945758949419,0.9928558585695502,0.9983801295896328,0.3978055077452668,0.568923076923077,0.046511627906976744,0.6021944922547332,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798,246,12,11196,7396
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing3,1207,259,258,18592,fuzzy_warning_as_alarm_hi50,0.9710195064544678,0.9821660041809082,0.9842556953430176,0.9888770878314972,0.629945758949419,0.9928558585695502,0.9983801295896328,0.3978055077452668,0.568923076923077,0.046511627906976744,0.6021944922547332,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798,246,12,11196,7396
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing3,1207,259,258,18592,fuzzy_fault_only_hi75,0.9710195064544678,0.9821660041809082,0.9842556953430176,0.9888770878314972,0.629945758949419,0.9928558585695502,0.9992619926199262,0.3641351118760757,0.5337643394961958,0.01937984496124031,0.6358648881239243,0.06079575596816976,0.10772707633990329,0.4132098433987831,0.3054827670588798,253,5,11822,6770
42,bearing,local-only,client_specific,3,cnn-ae,test1_bearing4,1207,259,258,18592,hard_val_p95,0.983741819858551,0.997860062122345,0.9999537825584411,1.0030985927581788,0.6951203901986684,0.9939317207339755,0.9984934086629002,0.4277646299483649,0.5989381330722596,0.046511627906976744,0.5722353700516352,0.06355437665782493,0.09866620856659215,0.45480623657736063,0.3561400280107685,246,12,10639,7953
