clients_by,training_mode,calibration_scope,model,decision_policy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,centralized,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.6811761532203686,0.992940065611695,0.5495810727677323,0.9994143296735604,0.3972429898164085,0.013694542986028993,0.6027570101835915,0.03775846804513873,0.09235905250819353,0.4451584924959835,0.3527994399877899
bearing,centralized,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.6811761532203686,0.992940065611695,0.5659911359817724,0.9988016293036829,0.41376667383821,0.02991041111531763,0.58623332616179,0.03775846804513873,0.09235905250819353,0.4451584924959835,0.3527994399877899
bearing,centralized,adaptive,cnn-ae,hard_val_p95,0.6811761532203686,0.992940065611695,0.5659911359817724,0.9988016293036829,0.41376667383821,0.02991041111531763,0.58623332616179,0.03775846804513873,0.09235905250819353,0.4451584924959835,0.3527994399877899
bearing,centralized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.7061645783697988,0.9930429428977248,0.6288478002463623,0.9987374793444256,0.49490820424555365,0.029464312453250086,0.5050917957544464,0.049143079568126906,0.10885858390321441,0.5316694889812676,0.42281090507805325
bearing,centralized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.7061645783697988,0.9930429428977248,0.649517205308043,0.9978765082113131,0.518659459265634,0.052536221064823835,0.48134054073436605,0.049143079568126906,0.10885858390321441,0.5316694889812676,0.42281090507805325
bearing,centralized,client_specific,cnn-ae,hard_val_p95,0.7061645783697988,0.9930429428977248,0.649517205308043,0.9978765082113131,0.518659459265634,0.052536221064823835,0.48134054073436605,0.049143079568126906,0.10885858390321441,0.5316694889812676,0.42281090507805325
bearing,centralized,pooled,cnn-ae,fuzzy_fault_only_hi75,0.6312884518009152,0.9906445157318168,0.43240080342763765,0.998442280800952,0.27596098680436026,0.03404338019533132,0.7240390131956397,0.031110791813117076,0.1423786603485523,0.3416841982472583,0.19930553789870606
bearing,centralized,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.6312884518009152,0.9906445157318168,0.4484988158231021,0.9969653758887184,0.28933591508892714,0.07161783383699032,0.7106640849110728,0.031110791813117076,0.1423786603485523,0.3416841982472583,0.19930553789870606
bearing,centralized,pooled,cnn-ae,hard_val_p95,0.6312884518009152,0.9906445157318168,0.4484988158231021,0.9969653758887184,0.28933591508892714,0.07161783383699032,0.7106640849110728,0.031110791813117076,0.1423786603485523,0.3416841982472583,0.19930553789870606
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.6753477194222454,0.9929123679043865,0.5146479423434266,0.9991217520822785,0.3599556708978772,0.01300827896451793,0.6400443291021228,0.04869711548214755,0.09204719548624728,0.41581674719273903,0.3237695517064917
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.6753477194222454,0.9929123679043865,0.5391068066143968,0.9985321966506562,0.3827692466293746,0.027163912825362502,0.6172307533706254,0.04869711548214755,0.09204719548624728,0.41581674719273903,0.3237695517064917
bearing,fedavg,adaptive,cnn-ae,hard_val_p95,0.6753477194222454,0.9929123679043865,0.5391068066143968,0.9985321966506562,0.3827692466293746,0.027163912825362502,0.6172307533706254,0.04869711548214755,0.09204719548624728,0.41581674719273903,0.3237695517064917
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.7039354656176255,0.9931527658327549,0.6039175078533782,0.9985800352912162,0.4678598321858864,0.02675528874458627,0.5321401678141136,0.058580640698571676,0.10649465098629878,0.5120580073896288,0.4055633564033301
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.7039354656176255,0.9931527658327549,0.6312808365818451,0.9975374082353687,0.4994224666523236,0.05339994865624246,0.5005775333476764,0.058580640698571676,0.10649465098629878,0.5120580073896288,0.4055633564033301
bearing,fedavg,client_specific,cnn-ae,hard_val_p95,0.7039354656176255,0.9931527658327549,0.6312808365818451,0.9975374082353687,0.4994224666523236,0.05339994865624246,0.5005775333476764,0.058580640698571676,0.10649465098629878,0.5120580073896288,0.4055633564033301
bearing,fedavg,pooled,cnn-ae,fuzzy_fault_only_hi75,0.6243405561681536,0.9904961550649075,0.39770423525083065,0.9980482760673797,0.24937428284566837,0.03439350684095847,0.7506257171543316,0.04048770457050974,0.1389378403126215,0.3244008464221082,0.1854630061094867
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.6243405561681536,0.9904961550649075,0.42078818312033894,0.9966644046560952,0.26687464142283424,0.06744906823890046,0.7331253585771658,0.04048770457050974,0.1389378403126215,0.3244008464221082,0.1854630061094867
bearing,fedavg,pooled,cnn-ae,hard_val_p95,0.6243405561681536,0.9904961550649075,0.42078818312033894,0.9966644046560952,0.26687464142283424,0.06744906823890046,0.7331253585771658,0.04048770457050974,0.1389378403126215,0.3244008464221082,0.1854630061094867
bearing,fedavg-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.749996785410416,0.9949975357484665,0.687074095481704,0.9990547677008195,0.5653148307515777,0.02663626202211659,0.4346851692484222,0.04142059155149149,0.10705001893052829,0.5978584820571359,0.4908084631266075
bearing,fedavg-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.749996785410416,0.9949975357484665,0.7031895043940134,0.9981294783476011,0.5861885040160643,0.05222203050539326,0.4138114959839358,0.04142059155149149,0.10705001893052829,0.5978584820571359,0.4908084631266075
bearing,fedavg-personalized,client_specific,cnn-ae,hard_val_p95,0.749996785410416,0.9949975357484665,0.7031895043940134,0.9981294783476011,0.5861885040160643,0.05222203050539326,0.4138114959839358,0.04142059155149149,0.10705001893052829,0.5978584820571359,0.4908084631266075
