clients_by,training_mode,calibration_scope,model,decision_policy,false_alarm_rate_std,miss_rate_std,uncertain_rate_std,health_gap_std
bearing,centralized,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.02120432162119142,0.22175083979116866,0.03370255785390639,0.30342001307527966
bearing,centralized,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.043125936639357355,0.21966728892442816,0.03370255785390639,0.30342001307527966
bearing,centralized,adaptive,cnn-ae,hard_val_p95,0.043125936639357355,0.21966728892442816,0.03370255785390639,0.30342001307527966
bearing,centralized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.010677929358840274,0.2766065711103692,0.020612493041317764,0.2779097675118278
bearing,centralized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.01385195336928801,0.27450972169678445,0.020612493041317764,0.2779097675118278
bearing,centralized,client_specific,cnn-ae,hard_val_p95,0.01385195336928801,0.27450972169678445,0.020612493041317764,0.2779097675118278
bearing,centralized,pooled,cnn-ae,fuzzy_fault_only_hi75,0.11367285166660297,0.0,0.0019492670662321421,0.20217104273952385
bearing,centralized,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.19617810512716263,0.0,0.0019492670662321421,0.20217104273952385
bearing,centralized,pooled,cnn-ae,hard_val_p95,0.19617810512716263,0.0,0.0019492670662321421,0.20217104273952385
bearing,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.019702002055711668,0.22018027860001121,0.0531903132722328,0.2713417819187689
bearing,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.03947619918018214,0.21878171939744925,0.0531903132722328,0.2713417819187689
bearing,fedavg,adaptive,cnn-ae,hard_val_p95,0.03947619918018214,0.21878171939744925,0.0531903132722328,0.2713417819187689
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.021099222279415526,0.28488689498392644,0.04012109315317144,0.27881975325145975
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.028094306704101596,0.2905886890755014,0.04012109315317144,0.27881975325145975
bearing,fedavg,client_specific,cnn-ae,hard_val_p95,0.028094306704101596,0.2905886890755014,0.04012109315317144,0.27881975325145975
bearing,fedavg,pooled,cnn-ae,fuzzy_fault_only_hi75,0.04876048250913902,0.0878178063712662,0.04965948362381971,0.15213346372142333
bearing,fedavg,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.10992264141212234,0.06810287146528629,0.04965948362381971,0.15213346372142333
bearing,fedavg,pooled,cnn-ae,hard_val_p95,0.10992264141212234,0.06810287146528629,0.04965948362381971,0.15213346372142333
bearing,fedavg-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.007335668787000166,0.2817236163072957,0.0184119408546116,0.2849342641210372
bearing,fedavg-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.014812833656303235,0.279775520397893,0.0184119408546116,0.2849342641210372
