heldout_load,train_normal_count,val_normal_count,test_normal_count,test_fault_count,best_epoch,best_val_loss,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp
0,2268,567,475,205,99,322.5592549641927,0.5220314860343933,1.0,0.9999999999999999,0.7454545454545455,1.0,0.8541666666666666,0.14736842105263157,0.0,405,70,0,205
1,1893,473,944,216,14,406.21866607666016,0.47881510853767395,1.0,1.0,0.9953917050691244,1.0,0.9976905311778291,0.001059322033898305,0.0,943,1,0,216
2,1893,473,944,222,12,403.61426544189453,0.4669016897678375,1.0,1.0,0.9910714285714286,1.0,0.9955156950672646,0.00211864406779661,0.0,942,2,0,222
3,1890,473,947,209,99,259.3640727996826,0.4342016875743866,1.0,1.0,0.18205574912891986,1.0,0.30803242446573326,0.9915522703273495,0.0,8,939,0,209
