seed,clients_by,training_mode,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
42,bearing,local-only,10,cnn-ae,K001,172,37,36,1956,hard_val_p95,1.0035855770111084,1.0055976867675782,1.0060633420944214,1.0064111471176147,0.49705322653942285,0.9828428036571997,1.0,0.034764826175869123,0.06719367588932806,0.0,0.9652351738241309,0.03614457831325301,0.07088207961389704,0.0910887142036987,0.020206634589801653,36,0,1888,68
42,bearing,local-only,10,cnn-ae,K001,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0035855770111084,1.0055976867675782,1.0060633420944214,1.0064111471176147,0.49705322653942285,0.9828428036571997,1.0,0.034764826175869123,0.06719367588932806,0.0,0.9652351738241309,0.03614457831325301,0.07088207961389704,0.0910887142036987,0.020206634589801653,36,0,1888,68
42,bearing,local-only,10,cnn-ae,K001,172,37,36,1956,fuzzy_fault_only_hi75,1.0035855770111084,1.0055976867675782,1.0060633420944214,1.0064111471176147,0.49705322653942285,0.9828428036571997,1.0,0.027607361963190184,0.05373134328358209,0.0,0.9723926380368099,0.03614457831325301,0.07088207961389704,0.0910887142036987,0.020206634589801653,36,0,1902,54
42,bearing,local-only,10,cnn-ae,K002,172,37,36,1956,hard_val_p95,1.0012497901916504,1.0068542957305908,1.0085601806640625,1.0134482383728027,0.44437343785503297,0.9779545885022307,0.9703703703703703,0.06697341513292433,0.125298900047824,0.1111111111111111,0.9330265848670757,0.058734939759036146,0.14842731227924044,0.09706577651938614,-0.051361535759854304,32,4,1825,131
42,bearing,local-only,10,cnn-ae,K002,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0012497901916504,1.0068542957305908,1.0085601806640625,1.0134482383728027,0.44437343785503297,0.9779545885022307,0.9703703703703703,0.06697341513292433,0.125298900047824,0.1111111111111111,0.9330265848670757,0.058734939759036146,0.14842731227924044,0.09706577651938614,-0.051361535759854304,32,4,1825,131
42,bearing,local-only,10,cnn-ae,K002,172,37,36,1956,fuzzy_fault_only_hi75,1.0012497901916504,1.0068542957305908,1.0085601806640625,1.0134482383728027,0.44437343785503297,0.9779545885022307,0.9722222222222222,0.03578732106339468,0.06903353057199212,0.05555555555555555,0.9642126789366053,0.058734939759036146,0.14842731227924044,0.09706577651938614,-0.051361535759854304,34,2,1886,70
42,bearing,local-only,10,cnn-ae,K003,172,37,37,1956,hard_val_p95,1.0038642883300781,1.0054959297180175,1.0061108112335204,1.0069592380523682,0.4085212513126623,0.9742263520795628,0.9344262295081968,0.029141104294478526,0.05651958353991076,0.10810810810810811,0.9708588957055214,0.04565980933266432,0.15460619332494127,0.07436136670621418,-0.08024482661872709,33,4,1899,57
42,bearing,local-only,10,cnn-ae,K003,172,37,37,1956,fuzzy_warning_as_alarm_hi50,1.0038642883300781,1.0054959297180175,1.0061108112335204,1.0069592380523682,0.4085212513126623,0.9742263520795628,0.9344262295081968,0.029141104294478526,0.05651958353991076,0.10810810810810811,0.9708588957055214,0.04565980933266432,0.15460619332494127,0.07436136670621418,-0.08024482661872709,33,4,1899,57
42,bearing,local-only,10,cnn-ae,K003,172,37,37,1956,fuzzy_fault_only_hi75,1.0038642883300781,1.0054959297180175,1.0061108112335204,1.0069592380523682,0.4085212513126623,0.9742263520795628,0.9166666666666666,0.01687116564417178,0.03313253012048193,0.08108108108108109,0.9831288343558282,0.04565980933266432,0.15460619332494127,0.07436136670621418,-0.08024482661872709,34,3,1923,33
42,bearing,local-only,10,cnn-ae,K004,171,37,36,1956,hard_val_p95,1.0016993284225464,1.0025067806243897,1.0031069278717042,1.0043242740631104,0.45694160418086804,0.9791887750098909,0.967948717948718,0.07719836400817996,0.14299242424242425,0.1388888888888889,0.9228016359918201,0.09387550200803213,0.14832511984685964,0.10338334109051275,-0.04494177875634689,31,5,1805,151
42,bearing,local-only,10,cnn-ae,K004,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0016993284225464,1.0025067806243897,1.0031069278717042,1.0043242740631104,0.45694160418086804,0.9791887750098909,0.967948717948718,0.07719836400817996,0.14299242424242425,0.1388888888888889,0.9228016359918201,0.09387550200803213,0.14832511984685964,0.10338334109051275,-0.04494177875634689,31,5,1805,151
42,bearing,local-only,10,cnn-ae,K004,171,37,36,1956,fuzzy_fault_only_hi75,1.0016993284225464,1.0025067806243897,1.0031069278717042,1.0043242740631104,0.45694160418086804,0.9791887750098909,0.9701492537313433,0.033231083844580775,0.06426099851705389,0.05555555555555555,0.9667689161554193,0.09387550200803213,0.14832511984685964,0.10338334109051275,-0.04494177875634689,34,2,1891,65
42,bearing,local-only,10,cnn-ae,K005,172,37,36,1956,hard_val_p95,1.0008184909820557,1.0116329908370971,1.013269853591919,1.020529375076294,0.5978612815269257,0.9851676057636406,0.9878934624697336,0.2085889570552147,0.344449134655973,0.1388888888888889,0.7914110429447853,0.06375502008032129,0.1875112963914917,0.244935992316804,0.0574246959253123,31,5,1548,408
42,bearing,local-only,10,cnn-ae,K005,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0008184909820557,1.0116329908370971,1.013269853591919,1.020529375076294,0.5978612815269257,0.9851676057636406,0.9878934624697336,0.2085889570552147,0.344449134655973,0.1388888888888889,0.7914110429447853,0.06375502008032129,0.1875112963914917,0.244935992316804,0.0574246959253123,31,5,1548,408
