clients_by,training_mode,calibration_scope,model,decision_policy,round,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,1,0.47517004052450545,0.9801713882918794,0.058242186776401285,0.9721878621613317,0.030674846625766874,0.03682849516182849,0.9693251533742332,0.039710467000409505,0.10677355313979658,0.09257646627244583,-0.014197086867350748
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,2,0.5039992915546767,0.982678586341619,0.11369688580900757,0.9851932669733343,0.06685980458986593,0.03691191191191191,0.9331401954101342,0.05725207514565146,0.09820379725349587,0.12891837624948344,0.03071457899598757
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,3,0.4863277345170665,0.980913890742602,0.1109693570089182,0.8922332942606589,0.0675982731197455,0.04154154154154154,0.9324017268802545,0.04364356293434876,0.10933636042905946,0.12705320280436527,0.017716842375305797
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,4,0.4692007852262624,0.980543917938136,0.08969587450316817,0.8928677429256461,0.04984662576687117,0.04300133466800134,0.9501533742331288,0.05039385954365491,0.10898888719651573,0.10905424573907554,6.535854255982493e-05
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,5,0.4902409972173946,0.9819548618505094,0.11196638698968557,0.8756934480868171,0.06595092024539878,0.035243576910243574,0.9340490797546013,0.06227225342245382,0.11080331474038958,0.13139336892013911,0.020590054179749545
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,6,0.4887256035858626,0.9816767793162039,0.09093217953253532,0.9000890240924119,0.04967620995228358,0.043043043043043044,0.9503237900477165,0.04478793526114269,0.10366535395801331,0.1072605526535233,0.003595198695509989
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,7,0.4982850096176613,0.9819375608176026,0.08694057012489169,0.9025178241391885,0.04797205180640764,0.04141641641641642,0.9520279481935925,0.056750416954655894,0.10405910086715114,0.11132872576690807,0.007269624899756928
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,8,0.4805070279891343,0.9804150000600512,0.07103081632969213,0.8994864647716452,0.03896841626902977,0.04917417417417417,0.9610315837309703,0.04978057404395975,0.11166641668960081,0.10404247629431777,-0.00762394039528304
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,9,0.4742424343225297,0.9804073687383801,0.08474770987973183,0.8953579205883919,0.04785844126334923,0.05518018018018018,0.9521415587366509,0.0518419359547797,0.12092555706202439,0.11347881962861803,-0.007446737433406344
bearing,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,10,0.46949624087277464,0.9804708812510007,0.07545187108236956,0.9583306825630385,0.04197909566007726,0.043043043043043044,0.9580209043399227,0.044731694800610705,0.11447062960101374,0.10813467534520192,-0.006335954255811817
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,1,0.47517004052450545,0.9801713882918794,0.08468573845414867,0.9762566542196348,0.04507498295841854,0.05055055055055055,0.9549250170415815,0.039710467000409505,0.10677355313979658,0.09257646627244583,-0.014197086867350748
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,2,0.5039992915546767,0.982678586341619,0.14651221370230044,0.986716233770694,0.08640081799591001,0.04300133466800134,0.9135991820040901,0.05725207514565146,0.09820379725349587,0.12891837624948344,0.03071457899598757
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,3,0.4863277345170665,0.980913890742602,0.13898552045183582,0.9017273034125611,0.0845546466712111,0.05847514180847514,0.915445353328789,0.04364356293434876,0.10933636042905946,0.12705320280436527,0.017716842375305797
bearing,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,4,0.4692007852262624,0.980543917938136,0.12506252143933363,0.8937602717072191,0.07157464212678936,0.05993493493493493,0.9284253578732107,0.05039385954365491,0.10898888719651573,0.10905424573907554,6.535854255982493e-05
