clients_by,training_mode,calibration_scope,model,decision_policy,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,centralized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.5138433209965249,0.9815965626148755,0.17276362941726267,0.8263542552745932,0.10648148148148148,0.03978978978978979,0.8935185185185185,0.04403538500324541,0.1030325922838222,0.15956669485026978,0.05653410256644758
bearing,centralized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.5138433209965249,0.9815965626148755,0.199843840731145,0.8367811246553963,0.12531242899341058,0.0627711044377711,0.8746875710065894,0.04403538500324541,0.1030325922838222,0.15956669485026978,0.05653410256644758
bearing,centralized,client_specific,cnn-ae,hard_val_p95,0.5138433209965249,0.9815965626148755,0.199843840731145,0.8367811246553963,0.12531242899341058,0.0627711044377711,0.8746875710065894,0.04403538500324541,0.1030325922838222,0.15956669485026978,0.05653410256644758
bearing,centralized,pooled,cnn-ae,fuzzy_fault_only_hi75,0.47202968348375646,0.9802578980480313,0.044069854177375536,0.658325427096636,0.02283571915473756,0.022981314647981314,0.9771642808452624,0.05206500865478975,0.08155408792704616,0.07564571604300352,-0.005908371884042634
bearing,centralized,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.47202968348375646,0.9802578980480313,0.07937228930194698,0.8592968280390253,0.04243353783231084,0.04604604604604604,0.9575664621676891,0.05206500865478975,0.08155408792704616,0.07564571604300352,-0.005908371884042634
bearing,centralized,pooled,cnn-ae,hard_val_p95,0.47202968348375646,0.9802578980480313,0.07937228930194698,0.8592968280390253,0.04243353783231084,0.04604604604604604,0.9575664621676891,0.05206500865478975,0.08155408792704616,0.07564571604300352,-0.005908371884042634
bearing,federated,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.48796522643127105,0.9811669552344329,0.09408102083013874,0.9129885964983533,0.053570211315610086,0.04301384718051385,0.9464297886843899,0.047877467667402626,0.10985951208687249,0.11666193163790933,0.006802419551036834
bearing,federated,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.48796522643127105,0.9811669552344329,0.12679905828815416,0.9275597718053056,0.07293512837991366,0.06468551885218553,0.9270648716200864,0.047877467667402626,0.10985951208687249,0.11666193163790933,0.006802419551036834
bearing,federated,client_specific,cnn-ae,hard_val_p95,0.48796522643127105,0.9811669552344329,0.12679905828815416,0.9275597718053056,0.07293512837991366,0.06468551885218553,0.9270648716200864,0.047877467667402626,0.10985951208687249,0.11666193163790933,0.006802419551036834
bearing,federated,pooled,cnn-ae,fuzzy_fault_only_hi75,0.46479869973074645,0.980240805190679,0.031036095067950367,0.9512947477813566,0.015899795501022496,0.020791624958291625,0.9841002044989775,0.04299337339322166,0.08553705063397533,0.07218806765693768,-0.013348982977037667
bearing,federated,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.46479869973074645,0.980240805190679,0.06589089098117623,0.972571424871272,0.03432174505794138,0.03994828161494828,0.9656782549420586,0.04299337339322166,0.08553705063397533,0.07218806765693768,-0.013348982977037667
bearing,federated,pooled,cnn-ae,hard_val_p95,0.46479869973074645,0.980240805190679,0.06589089098117623,0.972571424871272,0.03432174505794138,0.03994828161494828,0.9656782549420586,0.04299337339322166,0.08553705063397533,0.07218806765693768,-0.013348982977037667
bearing,local-only,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.5083920619665336,0.9803972535881385,0.06313033227230919,0.9548279110751768,0.03416837082481254,0.04758925592258925,0.9658316291751875,0.04950183462287574,0.12064927786860073,0.1135372009922241,-0.0071120768763766285
bearing,local-only,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.5083920619665336,0.9803972535881385,0.10258012497082088,0.9527041403391515,0.057969779595546465,0.08141474808141475,0.9420302204044536,0.04950183462287574,0.12064927786860073,0.1135372009922241,-0.0071120768763766285
bearing,local-only,client_specific,cnn-ae,hard_val_p95,0.5083920619665336,0.9803972535881385,0.10258012497082088,0.9527041403391515,0.057969779595546465,0.08141474808141475,0.9420302204044536,0.04950183462287574,0.12064927786860073,0.1135372009922241,-0.0071120768763766285
condition,centralized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.4445042075553962,0.9712713898168363,0.12009269421742368,0.8956633959057876,0.06688820722563053,0.045319264069264065,0.9331117927743695,0.048893012717660556,0.11811618575081007,0.11718569432468273,-0.0009304914261273398
condition,centralized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.4445042075553962,0.9712713898168363,0.15200574489222873,0.9077474224328982,0.08648602590320381,0.06948051948051948,0.9135139740967961,0.048893012717660556,0.11811618575081007,0.11718569432468273,-0.0009304914261273398
condition,centralized,client_specific,cnn-ae,hard_val_p95,0.4445042075553962,0.9712713898168363,0.15200574489222873,0.9077474224328982,0.08648602590320381,0.06948051948051948,0.9135139740967961,0.048893012717660556,0.11811618575081007,0.11718569432468273,-0.0009304914261273398
condition,centralized,pooled,cnn-ae,fuzzy_fault_only_hi75,0.4386843069166688,0.969477844750534,0.03963064952603698,0.9111682347677944,0.02044989775051125,0.02867965367965368,0.9795501022494887,0.0384505498090522,0.0924879166282661,0.06528071870720471,-0.027207197921061382
condition,centralized,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.4386843069166688,0.969477844750534,0.06405878130720634,0.9244272233856677,0.033571915473755966,0.05441017316017316,0.966428084526244,0.0384505498090522,0.0924879166282661,0.06528071870720471,-0.027207197921061382
condition,centralized,pooled,cnn-ae,hard_val_p95,0.4386843069166688,0.969477844750534,0.06405878130720634,0.9244272233856677,0.033571915473755966,0.05441017316017316,0.966428084526244,0.0384505498090522,0.0924879166282661,0.06528071870720471,-0.027207197921061382
condition,federated,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.47431649356735633,0.970995509313991,0.07113010966698217,0.9239905622237568,0.03810923653715064,0.037129329004329,0.9618907634628493,0.05092092068836772,0.10838097198559901,0.10011613196319043,-0.008264840022408588
