,roc_auc,roc_auc,pr_auc,pr_auc,f1,f1,precision,precision,recall,recall,false_alarm_rate,false_alarm_rate,miss_rate,miss_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
threshold_strategy,,,,,,,,,,,,,,
train_mad5,0.9945,0.0112,0.9842,0.0297,0.5525,0.3837,0.5394,0.4265,0.6839,0.4161,0.247,0.4017,0.3161,0.4161
train_p95,0.9945,0.0112,0.9842,0.0297,0.7443,0.2268,0.657,0.2783,0.9745,0.0598,0.3437,0.4104,0.0255,0.0598
train_p99,0.9945,0.0112,0.9842,0.0297,0.7571,0.2358,0.7215,0.3166,0.9361,0.1198,0.3163,0.4248,0.0639,0.1198
val_p95,0.9945,0.0112,0.9842,0.0297,0.849,0.2087,0.7986,0.2494,0.9749,0.062,0.1785,0.3301,0.0251,0.062
val_p99,0.9945,0.0112,0.9842,0.0297,0.8666,0.2111,0.8654,0.2567,0.9401,0.1143,0.1383,0.3214,0.0599,0.1143
