protocol,heldout_group,model,train_normal_count,val_normal_count,test_normal_count,test_fault_count,threshold_strategy,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp,best_epoch,best_val_loss,train_seconds,inference_ms_per_window_cpu,model_size_mb,param_count
paderborn-condition-wise,N09_M07_F10,iforest,3528,882,1464,1955,train_p95,0.530179977242294,0.6286927172864869,0.6509073508386436,0.6653950953678475,0.6245524296675192,0.6443271767810026,0.41939890710382516,0.37544757033248083,850,614,734,1221,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,3528,882,1464,1955,train_p99,0.6196052068942921,0.6286927172864869,0.6509073508386436,0.6418835192069393,0.2649616368286445,0.3750905141202028,0.19740437158469945,0.7350383631713555,1175,289,1437,518,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,3528,882,1464,1955,val_p95,0.5317377604713995,0.6286927172864869,0.6509073508386436,0.6652006597031336,0.618925831202046,0.6412294647588765,0.41598360655737704,0.38107416879795397,855,609,745,1210,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,3528,882,1464,1955,val_p99,0.6157757394206502,0.6286927172864869,0.6509073508386436,0.6468489892984542,0.2782608695652174,0.38912732474964234,0.2028688524590164,0.7217391304347827,1167,297,1411,544,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,3528,882,1464,1955,train_mad5,0.6328092888911903,0.6286927172864869,0.6509073508386436,0.6364883401920439,0.23734015345268542,0.34575260804769004,0.18101092896174864,0.7626598465473146,1199,265,1491,464,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,3518,880,1476,1964,train_p95,0.5476634446631835,0.8504452088818241,0.878221314952506,0.9382716049382716,0.4256619144602851,0.5856392294220666,0.03726287262872629,0.5743380855397149,1421,55,1128,836,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,3518,880,1476,1964,train_p99,0.6384615141154646,0.8504452088818241,0.878221314952506,0.92,0.011710794297352342,0.023127199597787834,0.0013550135501355014,0.9882892057026477,1474,2,1941,23,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,3518,880,1476,1964,val_p95,0.547731792200407,0.8504452088818241,0.878221314952506,0.9382716049382716,0.4256619144602851,0.5856392294220666,0.03726287262872629,0.5743380855397149,1421,55,1128,836,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,3518,880,1476,1964,val_p99,0.6081579427015534,0.8504452088818241,0.878221314952506,0.984,0.1878818737270876,0.3155194527575887,0.0040650406504065045,0.8121181262729125,1470,6,1595,369,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,3518,880,1476,1964,train_mad5,0.6725574142961407,0.8504452088818241,0.878221314952506,1.0,0.0010183299389002036,0.002034587995930824,0.0,0.9989816700610998,1476,0,1962,2,0,0.0,0.0,0.0,0.0,300
