,roc_auc,roc_auc,pr_auc,pr_auc,f1,f1,precision,precision,recall,recall,false_alarm_rate,false_alarm_rate,miss_rate,miss_rate
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
threshold_strategy,,,,,,,,,,,,,,
train_mad5,0.7854,0.2048,0.8359,0.1409,0.0303,0.0803,0.6227,0.4099,0.0189,0.0551,0.0242,0.0601,0.9811,0.0551
train_p95,0.7854,0.2048,0.8359,0.1409,0.5216,0.232,0.8594,0.1585,0.4065,0.2447,0.1218,0.2262,0.5935,0.2447
train_p99,0.7854,0.2048,0.8359,0.1409,0.0527,0.089,0.66,0.3384,0.0315,0.062,0.0332,0.0696,0.9685,0.062
val_p95,0.7854,0.2048,0.8359,0.1409,0.52,0.2319,0.8589,0.1582,0.405,0.2448,0.1194,0.225,0.595,0.2448
val_p99,0.7854,0.2048,0.8359,0.1409,0.1184,0.1597,0.7597,0.2694,0.0744,0.1144,0.0377,0.0825,0.9256,0.1144
