protocol,heldout_group,model,train_normal_count,val_normal_count,test_normal_count,test_fault_count,threshold_strategy,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp,best_epoch,best_val_loss,train_seconds,inference_ms_per_window_cpu,model_size_mb,param_count
paderborn-condition-wise,N09_M07_F10,iforest,4860,1215,1998,1997,train_p95,0.5436620415866269,0.3149103033930275,0.37972158676046563,0.3622480146609652,0.2969454181271908,0.3263621353880022,0.5225225225225225,0.7030545818728092,954,1044,1404,593,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,4860,1215,1998,1997,train_p99,0.6127866133006098,0.3149103033930275,0.37972158676046563,0.10166919575113809,0.03355032548823235,0.050451807228915665,0.2962962962962963,0.9664496745117677,1406,592,1930,67,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,4860,1215,1998,1997,val_p95,0.5391216234744028,0.3149103033930275,0.37972158676046563,0.38034682080924853,0.3294942413620431,0.3530990072444325,0.5365365365365365,0.6705057586379569,926,1072,1339,658,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,4860,1215,1998,1997,val_p99,0.6282518315673485,0.3149103033930275,0.37972158676046563,0.074487895716946,0.020030045067601403,0.03157063930544594,0.24874874874874875,0.9799699549323986,1501,497,1957,40,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N09_M07_F10,iforest,4860,1215,1998,1997,train_mad5,0.6237959980483256,0.3149103033930275,0.37972158676046563,0.07880910683012259,0.022533800701051578,0.035046728971962614,0.26326326326326327,0.9774661992989484,1472,526,1952,45,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,4798,1199,2076,2002,train_p95,0.5494023972711329,0.8503959912919451,0.8332163596446689,0.8831168831168831,0.16983016983016982,0.28487641390867197,0.02167630057803468,0.8301698301698301,2031,45,1662,340,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,4798,1199,2076,2002,train_p99,0.6484083068102213,0.8503959912919451,0.8332163596446689,0.0,0.0,0.0,0.0004816955684007707,1.0,2075,1,2002,0,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,4798,1199,2076,2002,val_p95,0.549395660055501,0.8503959912919451,0.8332163596446689,0.8831168831168831,0.16983016983016982,0.28487641390867197,0.02167630057803468,0.8301698301698301,2031,45,1662,340,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,4798,1199,2076,2002,val_p99,0.634071614220591,0.8503959912919451,0.8332163596446689,0.25,0.0004995004995004995,0.0009970089730807576,0.001445086705202312,0.9995004995004995,2073,3,2001,1,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M01_F10,iforest,4798,1199,2076,2002,train_mad5,0.6192434221236058,0.8503959912919451,0.8332163596446689,0.2857142857142857,0.000999000999000999,0.001991040318566451,0.0024084778420038534,0.999000999000999,2071,5,2000,2,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F04,iforest,4858,1214,2001,1999,train_p95,0.55149139475712,0.8328789582197396,0.8589075106605588,0.963302752293578,0.42021010505252626,0.5851619644723093,0.015992003998001,0.5797898949474737,1969,32,1159,840,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F04,iforest,4858,1214,2001,1999,train_p99,0.6437878715393085,0.8328789582197396,0.8589075106605588,0.6923076923076923,0.004502251125562781,0.008946322067594433,0.001999000499750125,0.9954977488744372,1997,4,1990,9,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F04,iforest,4858,1214,2001,1999,val_p95,0.5521588146659681,0.8328789582197396,0.8589075106605588,0.9627039627039627,0.4132066033016508,0.5782289114455723,0.015992003998001,0.5867933966983492,1969,32,1173,826,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F04,iforest,4858,1214,2001,1999,val_p99,0.6651071366679527,0.8328789582197396,0.8589075106605588,0.3333333333333333,0.0010005002501250625,0.00199501246882793,0.001999000499750125,0.9989994997498749,1997,4,1997,2,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F04,iforest,4858,1214,2001,1999,train_mad5,0.6130529420238741,0.8328789582197396,0.8589075106605588,0.92,0.02301150575287644,0.04489995119570522,0.001999000499750125,0.9769884942471235,1997,4,1953,46,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F10,iforest,4860,1215,1998,1999,train_p95,0.5513566432384501,0.8802163844685106,0.8774538262570444,0.9326683291770573,0.1870935467733867,0.31166666666666665,0.013513513513513514,0.8129064532266133,1971,27,1625,374,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F10,iforest,4860,1215,1998,1999,train_p99,0.6447589706884533,0.8802163844685106,0.8774538262570444,0.0,0.0,0.0,0.0005005005005005005,1.0,1997,1,1999,0,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F10,iforest,4860,1215,1998,1999,val_p95,0.5607976345914188,0.8802163844685106,0.8774538262570444,0.9310344827586207,0.1485742871435718,0.25625539257981017,0.011011011011011011,0.8514257128564282,1976,22,1702,297,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F10,iforest,4860,1215,1998,1999,val_p99,0.6376496901618515,0.8802163844685106,0.8774538262570444,0.0,0.0,0.0,0.0005005005005005005,1.0,1997,1,1999,0,0,0.0,0.0,0.0,0.0,300
paderborn-condition-wise,N15_M07_F10,iforest,4860,1215,1998,1999,train_mad5,0.6354981613464222,0.8802163844685106,0.8774538262570444,0.3333333333333333,0.0005002501250625312,0.000999000999000999,0.001001001001001001,0.9994997498749375,1996,2,1998,1,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KA01,iforest,5166,1292,1615,3992,train_p95,0.5530962831138686,0.9085140869975246,0.9170268895632626,0.9352574102964119,0.3003507014028056,0.4546833522942738,0.051393188854489166,0.6996492985971944,1532,83,2793,1199,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KA01,iforest,5166,1292,1615,3992,train_p99,0.6423036188910581,0.9085140869975246,0.9170268895632626,0.4838709677419355,0.00375751503006012,0.007457121551081283,0.009907120743034056,0.9962424849699398,1599,16,3977,15,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KA01,iforest,5166,1292,1615,3992,val_p95,0.5539029845126581,0.9085140869975246,0.9170268895632626,0.9338118022328549,0.2933366733466934,0.44643537933663746,0.051393188854489166,0.7066633266533067,1532,83,2821,1171,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KA01,iforest,5166,1292,1615,3992,val_p99,0.620455857906793,0.9085140869975246,0.9170268895632626,0.6595744680851063,0.015531062124248497,0.030347528144884974,0.019814241486068113,0.9844689378757515,1583,32,3930,62,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KA01,iforest,5166,1292,1615,3992,train_mad5,0.6306936690213585,0.9085140869975246,0.9170268895632626,0.6271186440677966,0.009268537074148297,0.0182670945445569,0.013622291021671827,0.9907314629258517,1593,22,3955,37,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KI01,iforest,5166,1292,1615,4005,train_p95,0.5530962831138686,0.6249329205366356,0.7769659795325679,0.7287581699346405,0.05568039950062422,0.10345627464625377,0.051393188854489166,0.9443196004993758,1532,83,3782,223,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KI01,iforest,5166,1292,1615,4005,train_p99,0.6423036188910581,0.6249329205366356,0.7769659795325679,0.058823529411764705,0.00024968789013732833,0.0004972650422675286,0.009907120743034056,0.9997503121098626,1599,16,4004,1,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KI01,iforest,5166,1292,1615,4005,val_p95,0.5539029845126581,0.6249329205366356,0.7769659795325679,0.7214765100671141,0.05368289637952559,0.09993028119916338,0.051393188854489166,0.9463171036204744,1532,83,3790,215,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KI01,iforest,5166,1292,1615,4005,val_p99,0.620455857906793,0.6249329205366356,0.7769659795325679,0.21951219512195122,0.0022471910112359553,0.004448838358872961,0.019814241486068113,0.9977528089887641,1583,32,3996,9,0,0.0,0.0,0.0,0.0,300
paderborn-bearing-wise,KI01,iforest,5166,1292,1615,4005,train_mad5,0.6306936690213585,0.6249329205366356,0.7769659795325679,0.12,0.000749063670411985,0.001488833746898263,0.013622291021671827,0.9992509363295881,1593,22,4002,3,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold1,iforest,6051,1513,509,2002,train_p95,0.5532341631713545,0.701709881474125,0.8976387705360238,0.9296875,0.11888111888111888,0.2108060230292294,0.03536345776031434,0.8811188811188811,491,18,1764,238,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold1,iforest,6051,1513,509,2002,train_p99,0.6406574159441494,0.701709881474125,0.8976387705360238,0.0,0.0,0.0,0.0019646365422396855,1.0,508,1,2002,0,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold1,iforest,6051,1513,509,2002,val_p95,0.5473396685963546,0.701709881474125,0.8976387705360238,0.9368770764119602,0.14085914085914086,0.24489795918367346,0.03732809430255403,0.8591408591408591,490,19,1720,282,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold1,iforest,6051,1513,509,2002,val_p99,0.6395025620076668,0.701709881474125,0.8976387705360238,0.0,0.0,0.0,0.0019646365422396855,1.0,508,1,2002,0,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold1,iforest,6051,1513,509,2002,train_mad5,0.6318770004764643,0.701709881474125,0.8976387705360238,0.0,0.0,0.0,0.0019646365422396855,1.0,508,1,2002,0,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold2,iforest,6059,1515,499,1997,train_p95,0.5471366217746968,0.4104633904764963,0.7163888577765771,0.6577777777777778,0.22233350025037557,0.3323353293413174,0.46292585170340683,0.7776664997496244,268,231,1553,444,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold2,iforest,6059,1515,499,1997,train_p99,0.6430249954785259,0.4104633904764963,0.7163888577765771,0.05714285714285714,0.00200300450676014,0.0038703434929850023,0.13226452905811623,0.9979969954932398,433,66,1993,4,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold2,iforest,6059,1515,499,1997,val_p95,0.5411013618816748,0.4104633904764963,0.7163888577765771,0.7126168224299065,0.3054581872809214,0.4276200490711532,0.49298597194388777,0.6945418127190787,253,246,1387,610,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold2,iforest,6059,1515,499,1997,val_p99,0.6337370779255233,0.4104633904764963,0.7163888577765771,0.06666666666666667,0.0025037556334501754,0.004826254826254826,0.1402805611222445,0.9974962443665498,429,70,1992,5,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold2,iforest,6059,1515,499,1997,train_mad5,0.6246429469671922,0.4104633904764963,0.7163888577765771,0.06593406593406594,0.0030045067601402104,0.005747126436781609,0.17034068136272545,0.9969954932398598,414,85,1991,6,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold3,iforest,6059,1515,499,1998,train_p95,0.5499445637642748,0.8785569136270539,0.967365864074191,0.9888682745825603,0.5335335335335335,0.6931079323797139,0.02404809619238477,0.46646646646646645,487,12,932,1066,0,0.0,0.0,0.0,0.0,300
paderborn-file-wise,fold3,iforest,6059,1515,499,1998,train_p99,0.6426615549749379,0.8785569136270539,0.967365864074191,1.0,0.009009009009009009,0.017857142857142856,0.0,0.990990990990991,499,0,1980,18,0,0.0,0.0,0.0,0.0,300
